time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-25T11:12:18.759Z,60.1345,-139.8494,0,2,ml,,,,0.83,ak,ak021f4afk5v,2021-11-25T11:54:52.788Z,"65 km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-25T11:03:47.720Z,38.840168,-122.8293304,2.15,0.91,md,17,80,0.00506,0.02,nc,nc73657525,2021-11-25T12:25:10.507Z,"9km WNW of Cobb, CA",earthquake,0.31,0.48,0.26,3,automatic,nc,nc
2021-11-25T11:03:32.360Z,38.8238335,-122.7521667,1.05,0.67,md,8,144,0.02391,0.03,nc,nc73657520,2021-11-25T12:52:10.667Z,"2km W of Cobb, CA",earthquake,0.39,1.14,0.15,2,automatic,nc,nc
2021-11-25T10:59:05.910Z,38.8246651,-122.7518311,1.44,1.27,md,13,146,0.02478,0.03,nc,nc73657515,2021-11-25T11:59:12.356Z,"2km W of Cobb, CA",earthquake,0.34,0.76,0.27,3,automatic,nc,nc
2021-11-25T10:54:38.460Z,19.230167388916,-155.417495727539,32.7799987792969,2.49,ml,50,132,,0.140000001,hv,hv72811042,2021-11-25T12:08:01.040Z,"7 km ENE of Pāhala, Hawaii",earthquake,0.5,0.560000002,3.29,27,automatic,hv,hv
2021-11-25T10:49:16.820Z,35.6861667,-117.4875,2.67,1.34,ml,15,146,0.1016,0.19,ci,ci39870199,2021-11-25T10:52:59.949Z,"12km SW of Searles Valley, CA",earthquake,0.49,0.65,0.179,16,automatic,ci,ci
2021-11-25T10:46:04.183Z,62.9957,-151.5472,0,1.6,ml,,,,0.93,ak,ak021f4a1ds3,2021-11-25T11:15:37.338Z,"61 km S of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-11-25T10:22:13.150Z,17.9611,-66.7883,16,3.12,md,26,166,0.092,0.2,pr,pr2021329009,2021-11-25T12:57:11.113Z,"4 km SE of Indios, Puerto Rico",earthquake,0.38,0.37,0.15,10,reviewed,pr,pr
2021-11-25T10:14:29.894Z,38.1777,-117.8697,8.9,0.6,ml,8,113.61,0.016,0.0754,nn,nn00828794,2021-11-25T10:18:40.456Z,"31 km SE of Mina, Nevada",earthquake,,0.9,0.57,6,automatic,nn,nn
2021-11-25T10:10:05.490Z,40.2540016,-124.1473312,11.82,2.68,md,14,113,0.0187,0.07,nc,nc73657510,2021-11-25T16:47:23.943Z,"14km SE of Petrolia, CA",earthquake,0.37,0.58,0.12,11,automatic,nc,nc
2021-11-25T10:04:57.710Z,37.4545,-118.5433333,2.99,0.8,md,6,156,0.09447,0.12,nc,nc73657505,2021-11-25T17:35:11.684Z,"6km NE of Round Valley, CA",earthquake,3.1,11.45,0.489,8,reviewed,nc,nc
2021-11-25T09:52:43.090Z,19.1706657409668,-155.470672607422,32.5999984741211,2.1,ml,48,93,,0.140000001,hv,hv72810982,2021-11-25T09:58:14.900Z,"3 km SSE of Pāhala, Hawaii",earthquake,0.57,1.04999995,4.42,7,automatic,hv,hv
2021-11-25T09:50:56.660Z,19.1965007781982,-155.475494384766,36.4300003051758,1.92999995,md,40,100,,0.170000002,hv,hv72810977,2021-11-25T09:54:08.550Z,"0 km SSE of Pāhala, Hawaii",earthquake,0.59,1,1.10000002,3,automatic,hv,hv
2021-11-25T09:50:49.244Z,39.4333,-120.1847,10.2,1.2,ml,11,110.6,0.133,0.1888,nn,nn00828793,2021-11-25T09:54:02.505Z,"11 km N of Truckee, California",earthquake,,1.3,0.24,9,automatic,nn,nn
2021-11-25T09:38:45.220Z,34.1356667,-117.4503333,8.83,0.94,ml,16,98,0.05988,0.12,ci,ci39870191,2021-11-25T09:42:31.596Z,"4km N of Fontana, CA",earthquake,0.39,0.91,0.149,17,automatic,ci,ci
2021-11-25T09:34:25.629Z,64.2497,-151.2348,16.2,1.6,ml,,,,0.57,ak,ak021f49df8i,2021-11-25T09:38:53.842Z,"66 km NE of Lake Minchumina, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-11-25T09:24:24.250Z,44.9976667,-111.847,8.63,1.03,ml,13,97,0.273,0.14,mb,mb80531704,2021-11-25T15:20:44.090Z,"33 km SSE of Virginia City, Montana",earthquake,0.4,2.68,0.213,3,reviewed,mb,mb
2021-11-25T09:21:10.210Z,35.6595,-117.4851667,11.25,1.3,ml,13,143,0.07521,0.14,ci,ci39870183,2021-11-25T09:24:52.074Z,"14km SSW of Searles Valley, CA",earthquake,0.39,0.62,0.233,12,automatic,ci,ci
2021-11-25T09:18:15.390Z,40.2560005,-124.1463318,11.34,2.31,md,9,108,0.01991,0.07,nc,nc73657500,2021-11-25T11:17:11.124Z,"14km ESE of Petrolia, CA",earthquake,0.64,0.77,0.08,7,automatic,nc,nc
2021-11-25T09:09:04.564Z,61.6536,-149.8091,45.8,1.6,ml,,,,0.44,ak,ak021f4980pj,2021-11-25T09:37:13.346Z,"2 km N of Houston, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-11-25T09:03:27.475Z,61.2579,-141.4628,12.1,1.8,ml,,,,0.55,ak,ak021f496s6p,2021-11-25T09:13:29.519Z,"80 km ESE of McCarthy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-25T08:39:35.350Z,38.8089981,-122.7791672,0.11,1.16,md,7,148,0.004417,0.03,nc,nc73657495,2021-11-25T11:02:11.042Z,"4km NNW of The Geysers, CA",earthquake,0.37,0.84,,1,automatic,nc,nc
2021-11-25T08:15:11.440Z,17.9748,-66.787,17,2.05,md,6,201,0.0922,0.12,pr,pr2021329008,2021-11-25T09:18:55.745Z,"4 km ESE of Indios, Puerto Rico",earthquake,0.58,0.97,0.22,2,reviewed,pr,pr
2021-11-25T08:10:08.360Z,17.96,-67.0298,6,2.68,md,24,204,0.0172,0.13,pr,pr2021329007,2021-11-25T08:53:32.580Z,"2 km SE of La Parguera, Puerto Rico",earthquake,0.39,0.17,0.08,5,reviewed,pr,pr
2021-11-25T08:02:42.680Z,33.3875,-116.9041667,14.5,0.76,ml,27,54,0.04847,0.19,ci,ci39870159,2021-11-25T08:06:17.624Z,"5km NW of Palomar Observatory, CA",earthquake,0.32,0.61,0.193,20,automatic,ci,ci
2021-11-25T08:01:38.470Z,19.3373336791992,-155.193496704102,2.96000003814697,2.13,ml,41,120,,0.180000007,hv,hv72810882,2021-11-25T08:07:08.570Z,"12 km SSE of Volcano, Hawaii",earthquake,0.4,1.05999994,0.4,3,automatic,hv,hv
2021-11-25T07:37:18.850Z,19.2049999237061,-155.401000976562,31.6299991607666,1.93,ml,45,157,,0.129999995,hv,hv72810872,2021-11-25T07:42:48.340Z,"8 km E of Pāhala, Hawaii",earthquake,0.6,0.639999986,5.31,3,automatic,hv,hv
2021-11-25T07:18:41.580Z,61.6301,-148.1523,25.4,1.6,ml,,,,0.37,ak,ak021f4835st,2021-11-25T07:23:33.564Z,"24 km SE of Chickaloon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-25T07:11:46.350Z,36.1903333,-118.0016667,1.15,0.89,ml,9,98,0.1392,0.19,ci,ci39870127,2021-11-25T07:15:20.030Z,"10km S of Olancha, CA",earthquake,0.68,0.99,0.059,8,automatic,ci,ci
2021-11-25T07:03:24.942Z,37.8864,-118.0759,1.1,1.8,ml,24,94.82,0.196,0.245,nn,nn00828791,2021-11-25T07:07:03.178Z,"24 km N of Dyer, Nevada",earthquake,,4.7,0.33,13,automatic,nn,nn
2021-11-25T07:01:53.730Z,35.5023333,-118.4091667,2.64,1.14,ml,11,106,0.198,0.15,ci,ci39870119,2021-11-25T07:05:25.735Z,"12km SE of Bodfish, CA",earthquake,0.35,1.51,0.189,9,automatic,ci,ci
2021-11-25T06:58:09.637Z,63.9044,-148.8758,94.1,2.2,ml,,,,0.65,ak,ak021f47q8lw,2021-11-25T07:03:00.256Z,"6 km NE of Healy, Alaska",earthquake,,1,,,automatic,ak,ak
2021-11-25T06:56:48.612Z,62.21,-150.0889,14.6,1.6,ml,,,,0.55,ak,ak021f47pvy5,2021-11-25T07:04:40.671Z,"12 km S of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-11-25T06:55:13.188Z,-6.295,128.4381,336.34,4.3,mb,,82,3.296,0.49,us,us7000fwyy,2021-11-25T07:15:05.040Z,"288 km S of Ambon, Indonesia",earthquake,7.5,11.8,0.129,17,reviewed,us,us
2021-11-25T06:36:52.582Z,60.7354,-149.4877,16.3,1.4,ml,,,,0.26,ak,ak021f47llxm,2021-11-25T06:39:56.540Z,"17 km SSW of Sunrise, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-11-25T06:18:10.910Z,40.8991661,-123.5353317,22.43,2.05,md,6,128,0.1515,0.01,nc,nc73657470,2021-11-25T07:31:10.501Z,"9km ESE of Willow Creek, CA",earthquake,0.8,1.31,0.17,3,automatic,nc,nc
2021-11-25T06:00:30.728Z,62.9289,-150.7655,119.2,1.9,ml,,,,0.38,ak,ak021f47dugw,2021-11-25T06:22:14.024Z,"48 km N of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-11-25T05:45:45.953Z,62.0174,-147.7683,30.6,1.6,ml,,,,0.66,ak,ak021f47239f,2021-11-25T05:49:28.377Z,"24 km NNW of Glacier View, Alaska",earthquake,,0.1,,,automatic,ak,ak
2021-11-25T05:38:26.450Z,19.3470001220703,-155.39599609375,7.21999979019165,1.76,ml,40,55,,0.189999998,hv,hv72810812,2021-11-25T05:43:54.960Z,"18 km NNE of Pāhala, Hawaii",earthquake,0.41,0.670000017,0.44,3,automatic,hv,hv
2021-11-25T05:35:27.865Z,38.1714,-117.9635,0.9,0.8,ml,9,103.12,0.032,0.1838,nn,nn00828789,2021-11-25T05:39:29.128Z,"27 km SSE of Mina, Nevada",earthquake,,1.9,0.76,5,automatic,nn,nn
2021-11-25T05:35:18.720Z,38.815834,-122.7781677,0.05,1.08,md,23,67,0.003237,0.06,nc,nc73657465,2021-11-25T06:49:10.275Z,"5km NNW of The Geysers, CA",earthquake,0.18,0.36,0.1,4,automatic,nc,nc
2021-11-25T05:23:34.115Z,38.5712,-119.4438,1.4,0.4,ml,8,113.53,0.061,0.1016,nn,nn00828788,2021-11-25T05:27:49.312Z,"5 km E of Coleville, California",earthquake,,0.9,0,1,automatic,nn,nn
